id:INT,name:STRING,country:STRING,age:INT
1,Customer1,JP,24
2,Customer2,CN,44
3,Customer3,ID,47
4,Customer4,CN,58
5,Customer5,DE,48
6,Customer6,NL,50
7,Customer7,RU,57
8,Customer8,BR,50
9,Customer9,JP,75
10,Customer10,FR,27
11,Customer11,RU,60
12,Customer12,IN,64
13,Customer13,JP,72
14,Customer14,US,76
15,Customer15,SE,35
16,Customer16,JP,55
17,Customer17,GB,21
18,Customer18,IN,63
19,Customer19,BR,79
20,Customer20,PK,61
21,Customer21,NG,69
22,Customer22,US,29
23,Customer23,GB,57
24,Customer24,US,77
25,Customer25,IN,60
26,Customer26,DE,42
27,Customer27,CN,29
28,Customer28,TR,44
29,Customer29,US,33
30,Customer30,US,41
31,Customer31,CN,41
32,Customer32,ID,32
33,Customer33,JP,71
34,Customer34,CN,51
35,Customer35,BR,51
36,Customer36,GB,53
37,Customer37,RU,75
38,Customer38,EG,73
39,Customer39,NG,76
40,Customer40,NL,53
41,Customer41,DE,77
42,Customer42,NG,54
43,Customer43,CN,41
44,Customer44,CA,63
45,Customer45,GB,51
46,Customer46,IN,72
47,Customer47,ID,76
48,Customer48,DE,42
49,Customer49,JP,74
50,Customer50,BR,27
51,Customer51,CN,24
52,Customer52,DE,61
53,Customer53,DE,24
54,Customer54,JP,18
55,Customer55,FR,59
56,Customer56,NG,39
57,Customer57,CA,68
58,Customer58,CN,30
59,Customer59,NL,75
60,Customer60,BR,68
61,Customer61,GB,72
62,Customer62,KR,28
63,Customer63,IN,46
64,Customer64,AU,44
65,Customer65,FR,29
66,Customer66,JP,48
67,Customer67,DE,29
68,Customer68,CN,66
69,Customer69,NL,25
70,Customer70,CA,41
71,Customer71,CN,61
72,Customer72,KR,20
73,Customer73,DE,29
74,Customer74,FR,74
75,Customer75,FR,77
76,Customer76,IN,30
77,Customer77,SE,50
78,Customer78,DE,48
79,Customer79,CN,25
80,Customer80,RU,24
81,Customer81,ES,53
82,Customer82,FR,28
83,Customer83,IN,79
84,Customer84,CN,42
85,Customer85,BR,45
86,Customer86,IN,56
87,Customer87,CN,57
88,Customer88,BR,25
89,Customer89,MX,25
90,Customer90,GB,37
91,Customer91,DE,76
92,Customer92,FR,50
93,Customer93,FR,22
94,Customer94,DE,77
95,Customer95,IN,73
96,Customer96,JP,63
97,Customer97,FR,36
98,Customer98,IT,61
99,Customer99,BR,37
100,Customer100,FR,67
101,Customer101,EG,50
102,Customer102,US,37
103,Customer103,GB,39
104,Customer104,PK,22
105,Customer105,FR,27
106,Customer106,BR,36
107,Customer107,CN,42
108,Customer108,PK,45
109,Customer109,ID,54
110,Customer110,US,34
111,Customer111,CA,68
112,Customer112,US,48
113,Customer113,IN,46
114,Customer114,CN,36
115,Customer115,TR,42
116,Customer116,JP,40
117,Customer117,BR,44
118,Customer118,TR,57
119,Customer119,CN,74
120,Customer120,BR,72
121,Customer121,MX,31
122,Customer122,CN,68
123,Customer123,FR,49
124,Customer124,CN,64
125,Customer125,US,20
126,Customer126,CN,54
127,Customer127,IN,76
128,Customer128,IN,40
129,Customer129,PK,69
130,Customer130,DE,36
131,Customer131,US,28
132,Customer132,TR,59
133,Customer133,CN,47
134,Customer134,IN,65
135,Customer135,FR,27
136,Customer136,CN,28
137,Customer137,JP,44
138,Customer138,BR,79
139,Customer139,IN,61
140,Customer140,GB,69
141,Customer141,BR,24
142,Customer142,US,80
143,Customer143,GB,35
144,Customer144,FR,34
145,Customer145,BR,65
146,Customer146,BR,43
147,Customer147,DE,23
148,Customer148,TR,43
149,Customer149,SE,76
150,Customer150,MX,23
151,Customer151,CN,36
152,Customer152,IN,37
153,Customer153,NG,18
154,Customer154,FR,62
155,Customer155,IN,73
156,Customer156,FR,37
157,Customer157,FR,70
158,Customer158,DE,79
159,Customer159,CA,77
160,Customer160,CN,39
161,Customer161,RU,23
162,Customer162,GB,57
163,Customer163,BR,51
164,Customer164,RU,42
165,Customer165,IN,30
166,Customer166,KR,53
167,Customer167,IN,65
168,Customer168,CN,38
169,Customer169,GB,37
170,Customer170,FR,50
171,Customer171,DE,58
172,Customer172,CA,47
173,Customer173,US,67
174,Customer174,CN,76
175,Customer175,PK,37
176,Customer176,US,27
177,Customer177,IN,28
178,Customer178,AU,60
179,Customer179,JP,60
180,Customer180,GB,36
181,Customer181,FR,69
182,Customer182,SE,42
183,Customer183,JP,34
184,Customer184,IN,73
185,Customer185,CN,33
186,Customer186,CN,76
187,Customer187,SE,60
188,Customer188,BR,31
189,Customer189,JP,66
190,Customer190,US,25
191,Customer191,CN,72
192,Customer192,BR,57
193,Customer193,GB,78
194,Customer194,FR,23
195,Customer195,US,20
196,Customer196,GB,31
197,Customer197,JP,49
198,Customer198,GB,65
199,Customer199,US,20
200,Customer200,TR,68
201,Customer201,SE,57
202,Customer202,JP,65
203,Customer203,BR,50
204,Customer204,FR,48
205,Customer205,CA,30
206,Customer206,FR,31
207,Customer207,FR,77
208,Customer208,BR,66
209,Customer209,FR,69
210,Customer210,IT,55
211,Customer211,BR,31
212,Customer212,ES,62
213,Customer213,CN,57
214,Customer214,CA,30
215,Customer215,ES,74
216,Customer216,IN,59
217,Customer217,DE,79
218,Customer218,BR,30
219,Customer219,IN,44
220,Customer220,FR,52
221,Customer221,GB,24
222,Customer222,GB,38
223,Customer223,NG,60
224,Customer224,FR,46
225,Customer225,PL,19
226,Customer226,JP,80
227,Customer227,IT,20
228,Customer228,ID,75
229,Customer229,BR,36
230,Customer230,US,64
231,Customer231,RU,69
232,Customer232,FR,57
233,Customer233,FR,76
234,Customer234,CN,46
235,Customer235,DE,73
236,Customer236,FR,54
237,Customer237,AU,75
238,Customer238,IN,24
239,Customer239,GB,25
240,Customer240,IN,28
241,Customer241,MX,49
242,Customer242,US,26
243,Customer243,EG,54
244,Customer244,PK,25
245,Customer245,US,27
246,Customer246,US,52
247,Customer247,DE,49
248,Customer248,JP,53
249,Customer249,GB,50
250,Customer250,CN,79
251,Customer251,BR,69
252,Customer252,KR,65
253,Customer253,BR,22
254,Customer254,CN,49
255,Customer255,GB,69
256,Customer256,CA,31
257,Customer257,IT,80
258,Customer258,US,47
259,Customer259,DE,23
260,Customer260,US,76
261,Customer261,FR,38
262,Customer262,BR,74
263,Customer263,NL,55
264,Customer264,EG,77
265,Customer265,BR,62
266,Customer266,ES,36
267,Customer267,GB,68
268,Customer268,SE,33
269,Customer269,GB,59
270,Customer270,JP,70
271,Customer271,GB,29
272,Customer272,FR,61
273,Customer273,BR,49
274,Customer274,IN,72
275,Customer275,IN,23
276,Customer276,ES,39
277,Customer277,AU,60
278,Customer278,BR,79
279,Customer279,RU,56
280,Customer280,CN,22
281,Customer281,NL,63
282,Customer282,CN,75
283,Customer283,ES,25
284,Customer284,DE,28
285,Customer285,IN,61
286,Customer286,US,54
287,Customer287,PL,60
288,Customer288,VN,45
289,Customer289,ES,67
290,Customer290,GB,27
291,Customer291,GB,56
292,Customer292,FR,30
293,Customer293,BR,20
