order_id:INT,product_id:INT,qty:INT,price:DOUBLE
7184,208,9,440.58
957,2425,1,351.87
4860,2051,5,59.22
11551,1548,5,461.60
2938,1795,3,393.61
8973,1204,7,469.72
18608,40,7,181.72
9583,836,2,99.17
7907,1518,10,36.60
14293,458,4,197.40
23854,1061,5,163.31
10707,2374,9,313.27
2984,1856,3,154.93
15948,1809,9,265.54
620,95,9,268.63
1860,1666,6,328.27
21661,1939,1,427.91
24441,1720,7,294.81
17903,2466,6,95.08
7983,2129,2,3.33
17788,1908,5,21.71
15852,2312,3,367.35
12139,311,7,239.14
8869,1891,10,459.77
6638,1468,9,88.57
1322,531,9,440.85
13934,1935,9,412.49
21934,1726,1,491.49
21793,1945,3,405.08
6087,391,10,133.41
13570,75,2,6.84
10817,55,2,206.39
22830,547,7,324.80
1533,623,2,176.43
7331,918,9,298.95
17523,433,3,356.23
15850,2369,6,234.14
19932,1380,10,98.59
19036,1804,1,207.99
11355,840,2,347.22
23138,2129,3,180.08
15581,2136,2,163.17
21641,1241,9,288.37
4479,1028,3,82.17
7686,1156,10,416.81
7100,1438,9,274.85
20455,338,2,447.12
19928,664,1,387.41
5941,561,5,59.76
15606,1821,5,257.61
3626,105,10,325.85
22957,477,6,440.64
1636,435,3,258.22
15186,1783,10,128.32
23665,2335,8,100.43
6091,724,2,169.12
3876,1246,2,478.36
18953,1964,3,67.47
22046,659,5,131.33
22723,400,4,300.60
12913,1499,9,124.63
6584,2491,7,123.53
15704,602,3,437.68
83,230,8,488.36
21830,2186,9,47.76
2029,1918,10,53.96
3180,624,5,22.59
21456,553,6,359.74
23142,347,8,482.54
2068,1044,1,227.70
3633,1158,5,2.70
6667,605,9,459.50
9340,1066,9,274.58
21425,1009,5,153.04
24908,2337,2,261.15
9619,1128,5,277.72
3938,1129,6,332.92
7095,238,1,21.68
5373,256,5,83.04
24384,582,4,481.26
24648,1562,10,94.77
13011,277,1,347.63
14768,999,7,166.78
19290,1928,2,380.17
3782,30,7,338.20
1104,1023,10,473.64
20775,2396,2,398.20
23079,1763,1,35.31
6341,2477,7,251.18
22387,585,8,118.21
24194,1960,10,476.01
13866,910,2,156.19
3389,223,8,121.31
2045,975,6,151.95
8251,1440,6,482.96
4988,530,4,401.84
1149,790,7,178.36
21452,606,7,111.35
2286,2137,7,420.65
16344,1863,7,2.11
14402,2023,4,258.95
7334,353,7,64.49
3936,247,2,385.50
22855,2222,1,261.09
13044,1478,1,323.55
17824,2012,3,129.20
8093,660,10,264.19
23223,1970,6,313.95
22491,441,9,113.84
23103,1472,5,118.78
3216,952,6,157.84
8305,1759,2,464.90
16601,751,6,114.25
13112,1906,6,303.93
22590,561,10,376.33
11469,487,9,284.97
5602,334,4,354.02
17731,946,2,266.12
23301,2061,10,17.34
16015,960,4,173.31
24124,1115,6,172.24
1978,32,8,244.69
4931,1567,4,318.46
24286,817,10,158.20
22802,818,7,122.74
3467,2206,2,232.16
14702,1251,4,194.92
13623,2372,5,388.75
21555,581,6,145.30
17891,1322,10,81.91
15398,1437,4,445.48
15449,1407,4,437.42
24725,2304,9,286.69
19006,2249,9,118.91
18653,578,9,468.83
10493,530,1,411.29
19675,2388,8,368.17
21891,1126,9,138.56
10650,33,5,401.82
12801,412,9,424.56
22069,1755,9,28.54
1939,1292,7,218.46
12950,1052,3,319.51
507,1695,10,399.98
1139,1254,8,55.49
20129,2384,10,327.54
12250,456,2,82.90
21636,2183,9,399.86
1188,1287,2,186.06
18503,2019,9,485.89
10739,1009,7,128.03
11934,1347,5,270.19
3236,1118,10,63.04
10757,795,10,331.84
22230,509,5,187.45
24469,2247,8,19.59
2279,1176,2,429.11
3346,2134,6,194.26
552,1703,10,117.19
14055,2099,7,426.33
919,1739,7,181.20
4520,1537,7,373.70
9510,434,3,381.04
17880,2076,1,107.90
5401,789,10,120.28
5689,1573,1,475.55
15986,377,10,200.46
13684,2388,2,451.35
18819,1281,10,8.08
18354,2157,9,332.49
2903,2460,5,205.23
19645,406,7,79.44
10667,822,1,154.53
18663,2320,7,331.33
16788,2032,10,398.22
890,1185,10,402.27
21150,319,3,165.53
6909,1222,3,473.34
22286,2022,1,257.35
23357,549,2,38.57
17834,1299,6,267.89
8147,2175,2,487.68
13699,1074,3,197.15
20578,1539,5,137.59
13844,1588,6,499.89
18281,1936,6,491.85
19013,1739,7,184.32
8830,2339,6,59.83
19785,2448,9,421.19
5517,2037,10,280.06
14673,1587,7,430.35
16955,1506,4,84.28
10623,2238,8,260.48
23760,924,1,453.66
15686,1444,8,301.16
11147,131,10,480.01
9190,1438,4,412.26
12295,1026,6,93.93
24953,2021,2,264.29
22971,1430,6,95.18
4347,302,7,41.77
20777,2262,4,60.52
12259,636,10,301.03
22763,1454,8,219.52
572,1589,3,286.49
2094,614,5,443.30
21974,564,2,326.83
10345,480,4,444.25
19893,282,8,339.23
16379,983,3,346.36
11426,126,5,225.29
3551,912,4,267.50
16079,1085,9,320.68
8661,20,3,333.12
7265,582,2,86.54
1700,1301,8,380.36
24496,1215,1,449.01
2704,1704,1,316.83
5586,1684,8,381.39
1680,1312,2,498.87
14196,1745,9,52.68
16372,913,6,171.60
12760,814,4,18.29
4672,1810,2,472.59
2707,1802,8,39.12
18423,494,9,75.53
14822,1369,10,290.11
4190,2060,5,333.76
16619,1908,7,319.01
16792,2079,5,417.79
10213,1374,7,97.92
22179,2290,7,332.22
19380,2360,9,310.16
11246,472,2,35.00
23921,32,3,245.97
18118,1043,5,107.73
5436,993,8,116.74
10320,322,7,441.06
18872,50,9,172.09
4801,2474,9,318.59
24440,1827,10,107.29
241,1628,7,233.60
11023,481,8,375.76
11434,368,4,135.57
8624,173,8,87.94
12363,1208,1,276.57
6439,2256,5,402.20
18911,1841,6,226.83
5929,151,5,421.59
20662,1575,4,4.58
10150,719,5,290.07
18378,2296,3,309.67
12626,185,6,345.01
1823,1472,9,121.69
1685,717,8,482.66
2377,978,7,138.09
14958,1628,4,234.95
9748,1211,7,271.68
24752,318,8,109.61
15543,1756,10,464.54
16037,1607,10,147.66
21042,1794,1,29.85
21120,259,2,308.46
14899,1560,2,82.81
24250,1347,9,182.00
19465,726,3,343.76
8628,1463,8,237.85
17830,2336,6,462.20
21390,110,7,45.32
8098,610,5,426.62
23758,20,7,223.16
19463,2118,9,287.80
3358,287,10,264.24
23697,1155,7,335.05
5304,826,1,435.18
21798,1529,3,371.52
22822,1497,3,209.94
17985,2410,9,485.81
16454,2228,1,220.96
7432,1682,6,367.01
15183,451,10,202.65
4518,520,7,409.61
3906,747,1,311.84
2776,2045,7,210.57
15061,716,6,338.77
10845,975,5,375.97
10332,904,7,36.74
12470,1642,4,311.52
2769,781,9,403.99
22362,1917,6,126.36
11873,1253,7,100.86
14619,1530,7,245.27
12866,2006,7,356.65
19355,764,2,265.44
22962,917,5,154.16
20624,207,10,55.81
1128,1208,6,342.10
21430,1846,9,300.85
7735,790,8,170.30
6795,2118,1,272.21
21041,2049,7,119.39
7623,635,3,61.39
15048,1217,5,407.23
3278,129,7,466.86
24710,484,3,137.87
3970,874,5,224.01
6686,1036,2,215.87
22887,819,9,130.77
20212,1093,7,218.35
126,797,2,8.01
9429,1597,8,471.07
12405,939,10,411.63
17095,900,8,437.35
13842,197,6,431.07
12393,1496,6,415.14
22816,1764,9,64.41
6983,112,7,41.17
3475,2496,1,96.68
4254,645,4,320.95
20591,1673,7,70.21
4429,2015,6,425.96
8077,1830,9,483.31
11803,744,2,52.45
12639,33,7,209.89
8729,467,10,379.53
11569,1082,10,275.30
16815,1929,1,231.64
6510,904,2,241.98
22817,1971,9,395.92
15646,1231,5,119.69
10690,908,6,356.45
22224,2053,1,165.97
12276,2020,4,477.83
23567,1726,4,2.60
114,891,9,284.65
18857,2273,2,143.19
13180,2366,5,475.09
3144,2475,3,136.29
15392,940,5,323.29
24914,2409,5,177.46
19642,479,8,370.74
15142,427,8,485.89
6129,169,10,335.78
8278,1450,10,496.50
12057,434,10,171.88
3613,1455,3,8.04
33,543,5,319.00
12326,1540,1,104.44
8850,1268,1,378.18
22749,2194,9,388.65
3548,1465,4,356.63
10246,1157,8,132.66
3127,106,4,309.86
18571,557,7,488.01
11226,2241,7,226.98
19515,745,5,43.68
9307,479,10,376.70
19044,1206,10,405.31
18459,167,1,234.30
22205,38,8,42.96
24717,242,9,119.38
3334,685,10,421.97
18125,2166,4,391.43
17182,1877,3,87.10
17513,831,3,134.50
24876,573,2,296.58
7165,2197,3,390.15
14818,2257,3,334.66
8540,503,6,262.88
657,1860,4,17.05
20109,1669,6,151.30
3771,2359,9,244.96
14894,124,1,189.88
6751,2012,8,141.65
24237,835,8,363.92
16354,1985,10,254.29
5174,25,6,324.84
22531,246,3,330.44
1716,1651,10,78.85
16090,2203,9,121.09
11846,1577,7,352.33
14158,682,9,356.38
3997,1103,2,370.85
17816,1797,7,357.41
16775,1960,1,265.54
3243,2483,7,279.32
18645,1145,8,467.12
8971,1037,1,438.29
7190,383,4,406.03
17313,1927,7,440.80
9138,625,7,334.73
9095,333,6,350.51
23389,670,2,363.82
7303,261,9,452.07
730,1550,2,240.58
22483,455,1,298.71
17255,585,8,294.33
7009,23,4,324.10
9595,372,6,339.73
11220,771,2,338.77
11112,1441,1,498.96
18292,231,4,3.35
21080,1214,6,319.17
13014,1831,6,13.71
6444,1199,2,101.90
4769,60,9,367.83
8666,1933,5,430.70
10063,45,2,256.46
5251,1042,10,497.04
19581,2295,4,39.08
4129,2388,3,167.25
3435,918,4,196.77
10726,1454,2,430.17
8082,1112,3,184.79
2771,162,4,172.55
12725,1116,10,486.83
10060,777,3,374.03
7973,1582,6,426.48
3348,1479,4,310.36
217,513,8,267.54
22189,259,7,251.04
8893,1966,2,21.43
9211,822,7,287.63
4543,1771,3,250.12
21822,425,2,25.05
24739,937,2,229.86
23744,286,4,486.42
17929,2057,9,250.86
16287,2489,1,123.44
6090,888,1,65.14
18639,857,10,79.25
8259,2254,10,13.72
6266,372,8,434.05
3242,2321,9,393.92
9460,1297,6,467.43
15063,763,10,398.66
20811,1831,2,336.80
23633,950,4,133.26
5935,1777,6,284.48
16410,1913,10,174.98
13696,433,7,433.02
19511,2194,8,167.87
20711,1982,9,305.22
72,1462,2,328.13
16825,1132,1,144.65
8711,1908,4,313.14
1044,838,9,97.86
24914,175,8,90.17
7897,878,5,283.32
14958,1381,3,369.65
10456,2158,9,151.37
7700,2364,10,109.78
17633,845,1,339.36
1239,761,7,455.24
9533,2193,3,19.24
1998,2203,8,162.90
7155,2219,8,262.32
2612,507,7,299.95
10884,1317,8,260.94
613,1642,6,482.33
4964,1419,5,423.86
724,1819,3,462.55
1242,2441,6,216.51
21818,2069,1,214.40
24679,2108,8,304.55
5103,141,3,482.60
2782,1333,10,37.73
5467,415,3,261.68
11886,1386,2,359.78
4709,2160,7,487.27
8880,1906,2,172.47
21690,1002,10,183.31
19096,2462,6,119.76
19346,958,6,117.97
18093,640,10,211.21
15019,1787,5,137.04
1705,533,8,50.21
2521,2023,10,100.38
9946,1495,6,452.74
3818,1773,9,493.30
9786,2094,8,224.26
19514,1712,6,443.79
1897,562,6,262.73
4931,1841,9,310.82
16213,603,4,5.04
8055,881,5,475.30
11382,152,4,265.32
3168,437,9,165.76
5965,730,10,176.98
10854,371,8,258.03
7417,604,6,249.89
21865,306,8,150.91
13855,999,3,260.23
8360,586,6,423.58
10765,1494,6,381.40
6367,521,1,345.14
22447,1084,8,219.94
1796,547,8,439.18
12399,901,2,235.48
9509,772,7,103.03
21095,1430,3,386.91
13065,495,9,71.15
8989,2302,10,469.72
22528,1902,7,8.45
14472,341,3,385.25
11722,2303,3,181.54
1640,577,5,147.54
8290,2425,7,135.38
17647,1903,1,408.11
17359,1645,8,379.53
20305,1952,3,7.98
13240,1903,3,381.77
23640,1177,10,52.15
2839,1247,7,34.44
7506,1521,3,389.77
6805,92,10,246.63
9904,1930,1,30.12
12606,1397,2,496.11
9681,366,7,213.91
24570,1249,7,328.52
9412,1980,6,78.08
8236,981,4,286.70
3867,752,8,382.86
16513,2284,6,288.23
2646,1556,4,3.64
16246,876,5,330.21
12472,2357,4,184.49
5052,2270,2,246.09
2658,544,2,73.50
16867,701,7,393.58
12621,2233,4,161.06
1747,2114,2,77.54
22831,1245,6,70.34
17362,1689,4,301.65
17010,2473,3,430.53
12579,1835,3,146.23
16327,980,4,333.30
17947,2241,9,307.95
20465,2427,8,494.85
6957,1337,9,472.41
10604,81,8,341.98
16161,1829,10,360.51
11581,1723,9,148.19
7267,1107,7,359.49
13527,1220,8,398.15
7153,2152,3,329.21
14649,128,5,15.15
358,1610,8,397.60
14684,801,10,306.66
13638,2379,9,307.30
15277,54,10,241.56
16573,723,2,140.72
1681,1158,9,307.68
440,1514,1,409.88
3010,915,6,4.33
4373,656,1,45.00
10822,2472,2,53.80
22785,934,4,191.84
16179,520,7,316.27
16834,1878,4,457.84
15027,2196,1,255.32
18889,1516,4,7.42
16661,2488,8,245.45
20546,348,4,309.34
7875,2278,3,466.29
8125,2209,5,246.34
21411,2422,5,106.87
6388,2257,5,396.54
6956,1024,1,483.85
20834,1170,6,321.75
4772,1953,9,89.82
2386,1326,5,410.91
13582,231,5,155.62
22851,1942,1,384.12
18615,948,4,316.51
19026,211,5,222.23
3059,2494,7,203.73
19298,2135,3,298.52
6191,1582,4,323.04
11235,2465,10,427.99
11636,1746,3,37.08
21275,2102,7,64.30
19783,764,1,196.91
10887,1060,2,79.10
19165,1280,5,85.86
13737,1508,7,191.74
19944,1827,9,173.84
11850,1952,7,138.62
160,1161,2,340.07
3069,1858,5,283.75
23715,1266,7,407.47
4834,201,8,424.28
9639,855,4,450.07
12770,1988,4,104.74
18511,1752,6,163.33
9950,750,6,121.75
18344,105,7,446.19
24264,1729,5,338.14
709,82,5,337.63
5258,934,3,333.20
10059,887,7,288.53
21658,1651,3,173.78
1472,152,4,409.99
23563,522,6,359.84
15572,264,4,5.78
