id:INT,customer_id:INT,total:DOUBLE,year:INT,status:STRING
1,247,132.91,2024,cancelled
2,421,223.42,2021,pending
3,383,137.55,2020,cancelled
4,498,242.43,2020,completed
5,393,719.19,2024,pending
6,443,885.25,2023,pending
7,114,193.54,2023,completed
8,262,842.75,2020,completed
9,145,359.43,2023,pending
10,362,102.90,2020,completed
11,124,843.03,2021,completed
12,337,742.97,2021,pending
13,39,876.14,2020,completed
14,2,269.25,2024,completed
15,54,446.33,2023,completed
16,40,186.64,2022,pending
17,448,79.16,2023,completed
18,367,606.95,2023,completed
19,483,111.32,2021,refunded
20,191,961.00,2023,completed
21,398,437.42,2021,pending
22,361,577.98,2023,refunded
23,418,212.78,2024,completed
24,103,217.87,2020,refunded
25,160,940.91,2022,completed
26,68,823.51,2023,completed
27,192,484.21,2023,completed
28,306,749.43,2022,completed
29,352,803.30,2020,completed
30,364,889.35,2023,completed
31,15,676.94,2024,pending
32,226,836.39,2022,cancelled
33,338,97.82,2024,completed
34,246,347.18,2021,completed
35,191,430.59,2024,cancelled
36,45,726.85,2021,refunded
37,146,993.89,2023,completed
38,23,727.69,2022,completed
39,142,454.30,2020,completed
40,118,185.42,2023,refunded
41,6,146.82,2020,completed
42,118,985.95,2020,pending
43,65,306.99,2023,pending
44,262,900.86,2020,completed
45,154,859.77,2023,completed
46,325,180.17,2021,completed
47,199,940.09,2021,completed
48,111,983.88,2023,completed
49,379,851.34,2024,cancelled
50,241,698.79,2023,completed
51,132,843.29,2024,refunded
52,292,306.41,2020,refunded
53,483,256.18,2022,cancelled
54,203,34.02,2024,completed
55,61,814.04,2021,pending
56,270,730.59,2024,completed
57,289,271.08,2020,completed
58,348,301.33,2022,cancelled
59,135,84.39,2021,completed
60,351,959.79,2021,pending
61,68,352.80,2020,pending
62,23,526.53,2020,completed
63,385,779.90,2020,cancelled
64,439,828.42,2023,completed
65,39,523.42,2020,cancelled
66,427,757.81,2022,refunded
67,416,806.05,2022,refunded
68,297,98.91,2023,completed
69,390,873.42,2020,refunded
70,121,987.78,2023,completed
71,332,184.94,2021,completed
72,325,711.33,2021,completed
73,77,200.44,2023,cancelled
74,464,804.32,2021,completed
75,109,733.73,2021,completed
76,50,77.96,2020,completed
77,132,849.68,2020,completed
78,440,735.98,2021,completed
79,288,417.00,2022,completed
80,325,646.24,2022,cancelled
81,78,718.48,2022,completed
82,441,887.86,2020,cancelled
83,18,659.36,2022,completed
84,94,100.57,2020,refunded
