id:INT,name:STRING,category:STRING,supplier_id:INT
1,Product1,Category27,170
2,Product2,Category52,92
3,Product3,Beauty,96
4,Product4,Home,134
5,Product5,Category51,243
6,Product6,Electronics,356
7,Product7,Category38,358
8,Product8,Category55,435
9,Product9,Category70,72
10,Product10,Category44,212
11,Product11,Sports,413
12,Product12,Beauty,115
13,Product13,Category73,332
14,Product14,Automotive,197
15,Product15,Category65,6
16,Product16,Category74,34
17,Product17,Toys,314
18,Product18,Software,18
19,Product19,Category34,41
20,Product20,Category36,67
21,Product21,Category35,453
22,Product22,Office,177
23,Product23,Category28,301
24,Product24,Category21,369
25,Product25,Category70,320
26,Product26,Category60,234
27,Product27,Category51,227
28,Product28,Category51,250
29,Product29,Health,265
30,Product30,Category81,290
31,Product31,Category85,469
32,Product32,Category71,172
33,Product33,Category78,360
34,Product34,Category57,251
35,Product35,Category63,328
36,Product36,Category40,336
37,Product37,Category22,322
38,Product38,Category50,390
39,Product39,Category35,17
40,Product40,Category84,84
41,Product41,Category83,309
42,Product42,Baby,73
43,Product43,Category83,13
44,Product44,Category74,14
45,Product45,Category68,297
46,Product46,Grocery,365
47,Product47,Category56,258
48,Product48,Category53,102
49,Product49,Category20,483
50,Product50,Category29,183
51,Product51,Category64,46
52,Product52,Garden,153
53,Product53,Category74,127
54,Product54,Category53,116
55,Product55,Category39,53
56,Product56,Category85,74
57,Product57,Category57,207
58,Product58,Category82,308
59,Product59,Category63,198
60,Product60,Category53,44
61,Product61,Category85,260
62,Product62,Electronics,40
63,Product63,Category31,160
64,Product64,Electronics,76
65,Product65,Category51,364
66,Product66,Category79,324
67,Product67,Category80,359
68,Product68,Category85,400
69,Product69,Category24,102
70,Product70,Books,347
71,Product71,Category23,20
72,Product72,Jewelry,472
73,Product73,Category69,220
74,Product74,Category29,490
75,Product75,Category43,116
76,Product76,Category50,294
77,Product77,Category28,349
78,Product78,Sports,327
79,Product79,Category52,37
80,Product80,Category33,62
81,Product81,Category36,47
82,Product82,Category74,286
83,Product83,Category76,257
84,Product84,Category27,340
85,Product85,Category37,500
86,Product86,Category68,370
87,Product87,Category43,469
88,Product88,Category49,142
89,Product89,Category49,125
90,Product90,Electronics,217
91,Product91,Category48,337
92,Product92,Category64,340
93,Product93,Category24,2
94,Product94,Category29,292
95,Product95,Category47,179
96,Product96,Category68,31
97,Product97,Category29,283
98,Product98,Category22,19
99,Product99,Category55,121
100,Product100,Category78,22
101,Product101,Category49,402
102,Product102,Category83,46
103,Product103,Garden,121
104,Product104,Garden,496
105,Product105,Category66,126
106,Product106,Category63,202
107,Product107,Health,19
108,Product108,Grocery,57
109,Product109,Electronics,191
110,Product110,Category51,62
111,Product111,Category65,205
112,Product112,Automotive,446
113,Product113,Category23,382
114,Product114,Category31,375
115,Product115,Category32,326
116,Product116,Category44,193
117,Product117,Category78,230
118,Product118,Books,245
119,Product119,Category36,301
120,Product120,Category37,48
121,Product121,Category81,86
122,Product122,Category54,291
123,Product123,Category51,19
124,Product124,Category23,223
125,Product125,Category48,39
126,Product126,Category82,274
127,Product127,Category64,95
128,Product128,Category80,328
129,Product129,Category39,490
130,Product130,Category82,302
131,Product131,Movies,422
132,Product132,Electronics,110
133,Product133,Category68,275
134,Product134,Category22,153
135,Product135,Category41,92
136,Product136,Category22,73
137,Product137,Shoes,246
138,Product138,Category34,366
139,Product139,Category49,299
140,Product140,Category29,411
141,Product141,Category42,248
142,Product142,Category36,450
143,Product143,Category25,354
144,Product144,Clothing,499
145,Product145,Category82,281
146,Product146,Category44,63
147,Product147,Category65,441
148,Product148,Home,397
149,Product149,Category57,21
150,Product150,Automotive,204
151,Product151,Category38,375
